M_SNC_MST_RCNT_ACT_OPN,TOT_HI_CRDT_CRDT_LMT,RATIO_BAL_TO_HI_CRDT,AGRGT_BAL_ALL_XCLD_MRTG,N_OF_SATISFY_FNC_REV_ACTS,AVG_BAL_ALL_FNC_REV_ACTS,N_BANK_INSTLACTS,N_FNC_INSTLACTS,N_SATISFY_INSTL_ACTS,TOT_INSTL_HI_CRDT_CRDT_LMT,M_SNC_MSTRCNT_MRTG_ACT_UPD,N_SATISFY_PRSNL_FNC_ACTS,TOT_OTHRFIN_HICRDT_CRDTLMT,N_BC_ACTS_OPN_IN_12M,N_BC_ACTS_OPN_IN_24M,AVG_BAL_ALL_PRM_BC_ACTS,N_RETAIL_ACTS_OPN_IN_24M,RATIO_RETAIL_BAL2HI_CRDT,N_30D_RATINGS,N_30D_AND_60D_RATINGS,PRCNT_OF_ACTS_NEVER_DLQNT,N_ACTS_90D_PLS_LTE_IN_6M,N_DEROG_PUB_RECS,N_INQUIRIES,N_FNC_ACTS_VRFY_IN_12M,N_OPEN_REV_ACTS,N_FNC_ACTS_OPN_IN_12M,HI_RETAIL_CRDT_LMT,N_PUB_REC_ACT_LINE_DEROGS,AUTO_HI_CRDT_2_ACTUAL,MRTG_1_MONTHLY_PAYMENT,PREM_BANKCARD_CRED_LMT,AGE,D_DEPTCARD,D_REGION_A,D_REGION_B,D_REGION_C,D_NA_M_SNC_MST_RCNT_ACT_OPN,D_NA_AVG_BAL_ALL_FNC_REV_ACTS,D_NA_M_SNCOLDST_BNKINSTL_ACTOPN,D_NA_M_SNC_OLDST_MRTG_ACT_OPN,D_NA_M_SNC_MST_RCNT_MRTG_DEAL,D_NA_RATIO_PRSNL_FNC_BAL2HICRDT,PURCHASE
11,798991,6.5,9680,0,1767.19720263553,0,1,1,25400,1,1,25400,0,1,624,2,1.2,2,2,90.9,0,0,0,2,13,0,2000,0,0,6868,35000,31,1,0,0,1,0,1,1,0,1,1,1
29.8833914790147,0,36.0950602704023,0,0,1767.19720263553,0,0,0,0,0.664687749743121,0,0,0,0,2494.41434114311,0,11.4912303766143,0,0,80.8148682071938,0,0,0,0,0,0,0,1,0,0,0,47,0,1,0,0,1,1,1,1,1,1,0
29.8833914790147,0,36.0950602704023,0,0,1767.19720263553,0,0,0,0,0.664687749743121,0,0,0,0,2494.41434114311,0,11.4912303766143,0,0,80.8148682071938,0,0,0,0,0,0,0,1,0,0,0,65,0,0,0,1,1,1,1,1,1,1,0
29.8833914790147,0,36.0950602704023,0,0,1767.19720263553,0,0,0,0,0.664687749743121,0,0,0,0,2494.41434114311,0,11.4912303766143,0,0,80.8148682071938,0,0,1,0,0,0,0,0,0,0,0,24,0,1,0,0,1,1,1,1,1,1,0
9,33600,0.4,122,0,1767.19720263553,0,0,0,0,0.664687749743121,0,0,1,1,61,0,0,0,0,100,0,0,1,0,6,0,600,0,0,0,17000,24,1,1,0,0,0,1,1,1,1,1,0
7,173099,1.9,3276,2,80,0,0,0,0,0.664687749743121,0,0,4,9,0,1,2.1,0,0,100,0,0,7,2,43,1,4000,0,0,0,10000,88,1,0,0,1,0,0,1,1,1,1,0
5,181780,1.2,1314,3,0,2,0,0,0,1,1,3400,1,5,81,1,3,0,0,96.9,0,0,4,3,23,0,14500,0,0,0,0,34,0,0,0,0,0,0,0,0,1,1,1
5,363800,9.8,29681,3,0,0,2,0,0,1,1,165900,1,2,1941,0,0,4,5,74.2,0,0,1,3,18,0,400,0,0,1329,16700,71,1,0,1,0,0,0,1,0,0,0,0
12,277,100,277,0,1767.19720263553,0,0,0,0,0.664687749743121,0,0,0,0,2494.41434114311,0,11.4912303766143,0,0,0,1,0,0,1,0,1,0,1,0,0,0,59,0,0,0,0,0,1,1,1,1,0,0
12,166,100,166,0,1767.19720263553,0,0,0,0,0.664687749743121,0,0,0,0,2494.41434114311,0,11.4912303766143,0,0,0,1,0,0,1,0,1,0,1,0,0,0,24,0,0,0,1,0,1,1,1,1,0,0
64,3765,100,3765,0,1767.19720263553,0,0,0,0,0.664687749743121,0,0,0,0,2494.41434114311,0,11.4912303766143,0,0,0,1,0,2,0,0,0,0,2,0,0,0,73,0,1,0,0,0,1,1,1,1,1,0
26,12000,1,117,0,1767.19720263553,0,0,0,0,0.664687749743121,0,0,0,0,2494.41434114311,0,11.4912303766143,0,0,100,0,0,0,0,2,0,0,0,0,0,0,57,0,0,1,0,0,1,1,1,1,1,0
39,39000,0,0,0,1767.19720263553,0,0,0,0,0.664687749743121,0,0,0,0,0,0,0,0,0,100,0,0,0,0,4,0,5000,0,0,0,10000,23,1,0,0,0,0,1,1,1,1,1,1
3,338800,38.2,73026,1,1767.19720263553,0,1,0,0,0,0,228500,0,0,9002,0,16.7,0,0,100,0,0,0,1,16,0,5000,0,0,386,15600,86,1,1,0,0,0,1,1,0,1,1,0
11,0,36.0950602704023,0,0,1767.19720263553,0,1,0,0,0.664687749743121,0,0,0,0,2494.41434114311,0,11.4912303766143,0,0,0,0,0,3,0,0,1,0,4,0,0,0,52,0,0,0,0,0,1,1,1,1,1,0
6,27552,26.1,7183,1,76,4,2,1,17152,0.664687749743121,0,3000,1,1,2494.41434114311,0,0,0,0,92.3,0,0,1,1,2,0,7400,0,0,0,0,57,1,0,0,0,0,0,0,0,1,1,1
16,303837,23.7,27999,0,1767.19720263553,0,0,0,0,0,0,147000,0,2,4667,0,11.4912303766143,0,0,100,0,0,6,1,6,0,0,0,0,766,35000,100,0,1,0,0,0,1,1,0,1,1,1
29.8833914790147,0,36.0950602704023,0,0,1767.19720263553,0,0,0,0,0.664687749743121,0,0,0,0,2494.41434114311,0,11.4912303766143,0,0,80.8148682071938,0,0,1,0,0,0,0,1,0,0,0,41,0,0,0,1,1,1,1,1,1,1,0
24,222753,10.4,4948,1,1767.19720263553,0,1,0,0,0.664687749743121,0,0,0,1,1649,0,0,0,0,100,0,0,0,0,6,0,3000,0,0,0,12000,52,0,1,0,0,0,1,1,1,1,1,0
6,618077,31.9,29443,0,1767.19720263553,5,0,0,0,1,0,0,2,2,5346,0,11.4912303766143,0,0,100,0,0,2,0,8,0,0,0,0,3149,18000,33,0,1,0,0,0,1,0,0,1,1,0
75,400,0,0,0,1767.19720263553,0,0,0,0,0.664687749743121,0,0,0,0,2494.41434114311,0,0,0,0,100,0,0,0,0,1,0,400,0,0,0,0,39,1,0,0,0,0,1,1,1,1,1,0
12,22059,77.4,17072,0,1767.19720263553,0,5,1,21559,0.664687749743121,1,0,1,1,2494.41434114311,0,11.4912303766143,12,16,42.9,1,0,27,3,1,0,0,5,0,1703,0,44,0,1,0,0,0,1,1,0,0,0,0
29.8833914790147,0,36.0950602704023,0,0,1767.19720263553,0,0,0,0,0.664687749743121,0,0,0,0,2494.41434114311,0,11.4912303766143,0,0,80.8148682071938,0,0,0,0,0,0,0,1,0,0,0,53,0,0,0,1,1,1,1,1,1,1,0
14,25835,80.2,20720,0,1767.19720263553,1,2,1,25835,0.664687749743121,0,25835,0,0,2494.41434114311,0,11.4912303766143,1,1,46.7,0,1,16,1,0,0,0,14,0,1861,0,63,0,1,0,0,0,1,0,1,1,1,0
3,173544,77.8,24530,0,1767.19720263553,0,2,2,30020,0,2,0,2,3,2494.41434114311,0,11.4912303766143,0,0,100,0,0,10,2,3,1,0,0,18779,1179,0,45,0,0,0,0,0,1,1,0,1,0,0
41,132500,0.6,143,0,1767.19720263553,1,1,0,0,1,0,110000,0,0,0,0,2.9,0,0,100,0,0,0,1,4,0,3000,0,0,1248,0,46,1,0,0,1,0,1,0,0,1,1,1
