M_SNC_MST_RCNT_ACT_OPN,TOT_HI_CRDT_CRDT_LMT,RATIO_BAL_TO_HI_CRDT,AGRGT_BAL_ALL_XCLD_MRTG,N_OF_SATISFY_FNC_REV_ACTS,AVG_BAL_ALL_FNC_REV_ACTS,N_BANK_INSTLACTS,N_FNC_INSTLACTS,N_SATISFY_INSTL_ACTS,TOT_INSTL_HI_CRDT_CRDT_LMT,M_SNC_MSTRCNT_MRTG_ACT_UPD,N_SATISFY_PRSNL_FNC_ACTS,TOT_OTHRFIN_HICRDT_CRDTLMT,N_BC_ACTS_OPN_IN_12M,N_BC_ACTS_OPN_IN_24M,AVG_BAL_ALL_PRM_BC_ACTS,N_RETAIL_ACTS_OPN_IN_24M,RATIO_RETAIL_BAL2HI_CRDT,N_30D_RATINGS,N_30D_AND_60D_RATINGS,PRCNT_OF_ACTS_NEVER_DLQNT,N_ACTS_90D_PLS_LTE_IN_6M,N_DEROG_PUB_RECS,N_INQUIRIES,N_FNC_ACTS_VRFY_IN_12M,N_OPEN_REV_ACTS,N_FNC_ACTS_OPN_IN_12M,HI_RETAIL_CRDT_LMT,N_PUB_REC_ACT_LINE_DEROGS,AUTO_HI_CRDT_2_ACTUAL,MRTG_1_MONTHLY_PAYMENT,PREM_BANKCARD_CRED_LMT,AGE,D_DEPTCARD,D_REGION_A,D_REGION_B,D_REGION_C,D_NA_M_SNC_MST_RCNT_ACT_OPN,D_NA_AVG_BAL_ALL_FNC_REV_ACTS,D_NA_M_SNCOLDST_BNKINSTL_ACTOPN,D_NA_M_SNC_OLDST_MRTG_ACT_OPN,D_NA_M_SNC_MST_RCNT_MRTG_DEAL,D_NA_RATIO_PRSNL_FNC_BAL2HICRDT,PURCHASE
92,24300,5,1214,0,1767.19720263553,0,1,0,0,0.664687749743121,0,0,0,0,607,0,11.4912303766143,0,0,100,0,0,0,0,2,0,0,0,0,0,14500,74,0,1,0,0,0,1,1,1,1,1,0
2,259300,8.3,113430,1,3165,3,0,1,125000,0.664687749743121,0,0,2,3,1310,3,1.2,0,0,97.2,0,0,2,1,19,1,4300,0,0,25,11000,73,1,0,0,0,0,0,0,0,1,1,1
23,11500,0,0,0,1767.19720263553,0,0,0,0,0.664687749743121,0,0,0,1,0,0,11.4912303766143,0,0,100,0,0,0,0,1,0,0,0,0,0,11500,22,0,0,0,0,0,1,1,1,1,1,0
367,200,0,0,0,1767.19720263553,0,0,0,0,0.664687749743121,0,0,0,0,2494.41434114311,0,0,0,0,100,0,0,0,0,1,0,200,0,0,0,0,34,1,1,0,0,0,1,1,1,1,1,0
7,71050,36.0950602704023,0,0,1767.19720263553,0,0,0,0,0,0,0,0,0,2494.41434114311,0,11.4912303766143,1,1,0,0,0,5,0,0,0,0,1,0,758,0,62,0,0,0,1,0,1,1,0,0,1,0
3,286067,40.6,59073,2,1954,0,6,2,65967,0,4,0,0,0,4087,0,0,8,8,86.4,0,0,1,4,12,1,5300,4,24166,1441,14000,34,0,1,0,0,0,0,1,0,0,0,1
70,26000,0,0,0,1767.19720263553,0,0,0,0,0.664687749743121,0,0,0,0,0,0,11.4912303766143,0,0,100,0,0,0,0,1,0,0,0,0,0,0,56,0,0,0,1,0,1,1,1,1,1,0
29.8833914790147,0,36.0950602704023,0,0,1767.19720263553,0,0,0,0,0.664687749743121,0,0,0,0,2494.41434114311,0,11.4912303766143,0,0,80.8148682071938,0,0,4,0,0,0,0,2,0,0,0,68,0,1,0,0,1,1,1,1,1,1,0
21,4000,41,1642,0,1767.19720263553,0,2,0,0,0.664687749743121,0,0,0,1,2494.41434114311,0,11.4912303766143,1,1,50,0,1,5,0,1,0,0,9,0,0,0,62,0,1,0,0,0,1,1,1,1,1,0
55,53300,0.5,283,0,1767.19720263553,0,0,0,0,0.664687749743121,0,0,0,0,71,0,11.4912303766143,0,0,100,0,0,0,0,4,0,0,0,0,0,20000,64,0,0,0,0,0,1,1,1,1,1,0
